OID,Year,LocationInfo,Longitude,Latitude,ShootingAngle
628424,2022,109289,113.3368618,23.17473353,0
628425,2022,109289,113.3368618,23.17473353,180
628426,2022,109289,113.3368618,23.17473353,270
628427,2022,109289,113.3368618,23.17473353,90
628428,2022,109291,113.3348917,23.17433552,0
628429,2022,109291,113.3348917,23.17433552,180
628430,2022,109291,113.3348917,23.17433552,270
628431,2022,109291,113.3348917,23.17433552,90
628432,2022,109588,113.4968525,23.17518058,0
628433,2022,109588,113.4968525,23.17518058,180
628434,2022,109588,113.4968525,23.17518058,270
628435,2022,109588,113.4968525,23.17518058,90
628436,2022,109590,113.4968656,23.17316475,0
628437,2022,109590,113.4968656,23.17316475,180
628438,2022,109590,113.4968656,23.17316475,270
628439,2022,109590,113.4968656,23.17316475,90
628440,2022,109755,113.4227474,23.1703649,0
628441,2022,109755,113.4227474,23.1703649,180
628442,2022,109755,113.4227474,23.1703649,270
628443,2022,109755,113.4227474,23.1703649,90
628444,2022,110404,113.3172223,23.17012452,0
628445,2022,110404,113.3172223,23.17012452,180
628446,2022,110404,113.3172223,23.17012452,270
628447,2022,110404,113.3172223,23.17012452,90
628448,2022,110464,113.4105124,23.17038758,0
628449,2022,110464,113.4105124,23.17038758,180
628450,2022,110464,113.4105124,23.17038758,270
628451,2022,110464,113.4105124,23.17038758,90
628452,2022,110497,113.6514856,23.1709201,0
628453,2022,110497,113.6514856,23.1709201,180
628454,2022,110497,113.6514856,23.1709201,270
628455,2022,110497,113.6514856,23.1709201,90
628456,2022,110852,113.3181542,23.17004572,0
628457,2022,110852,113.3181542,23.17004572,180
628458,2022,110852,113.3181542,23.17004572,270
628459,2022,110852,113.3181542,23.17004572,90
628460,2022,110853,113.3190464,23.17009372,0
628461,2022,110853,113.3190464,23.17009372,180
628462,2022,110853,113.3190464,23.17009372,270
628463,2022,110853,113.3190464,23.17009372,90
628464,2022,110855,113.3174474,23.16910131,0
628465,2022,110855,113.3174474,23.16910131,180
628466,2022,110855,113.3174474,23.16910131,270
628467,2022,110855,113.3174474,23.16910131,90
628468,2022,110930,113.4504189,23.16864312,0
628469,2022,110930,113.4504189,23.16864312,180
628470,2022,110930,113.4504189,23.16864312,270
628471,2022,110930,113.4504189,23.16864312,90
628472,2022,111065,113.3129553,23.16897131,0
628473,2022,111065,113.3129553,23.16897131,180
628474,2022,111065,113.3129553,23.16897131,270
628475,2022,111065,113.3129553,23.16897131,90
628476,2022,111070,113.3174187,23.1690482,0
628477,2022,111070,113.3174187,23.1690482,180
628478,2022,111070,113.3174187,23.1690482,270
628479,2022,111070,113.3174187,23.1690482,90
628480,2022,111073,113.3176303,23.1682417,0
628481,2022,111073,113.3176303,23.1682417,180
628482,2022,111073,113.3176303,23.1682417,270
628483,2022,111073,113.3176303,23.1682417,90
628484,2022,111357,113.4177576,23.16810062,0
628485,2022,111357,113.4177576,23.16810062,180
628486,2022,111357,113.4177576,23.16810062,270
628487,2022,111357,113.4177576,23.16810062,90
628488,2022,111582,113.3767795,23.16539294,0
628489,2022,111582,113.3767795,23.16539294,180
628490,2022,111582,113.3767795,23.16539294,270
628491,2022,111582,113.3767795,23.16539294,90
628492,2022,111583,113.3767974,23.16456271,0
628493,2022,111583,113.3767974,23.16456271,180
628494,2022,111583,113.3767974,23.16456271,270
628495,2022,111583,113.3767974,23.16456271,90
628496,2022,112035,113.3395663,23.16584272,0
628497,2022,112035,113.3395663,23.16584272,180
628498,2022,112035,113.3395663,23.16584272,270
628499,2022,112035,113.3395663,23.16584272,90
628500,2022,112966,113.323388,23.16172321,0
628501,2022,112966,113.323388,23.16172321,180
628502,2022,112966,113.323388,23.16172321,270
628503,2022,112966,113.323388,23.16172321,90
628504,2022,113062,113.4556507,23.16252117,0
628505,2022,113062,113.4556507,23.16252117,180
628506,2022,113062,113.4556507,23.16252117,270
628507,2022,113062,113.4556507,23.16252117,90
628508,2022,113063,113.4565476,23.16247478,0
628509,2022,113063,113.4565476,23.16247478,180
628510,2022,113063,113.4565476,23.16247478,270
628511,2022,113063,113.4565476,23.16247478,90
628512,2022,113720,113.3959746,23.1588687,0
628513,2022,113720,113.3959746,23.1588687,180
628514,2022,113720,113.3959746,23.1588687,270
628515,2022,113720,113.3959746,23.1588687,90
628516,2022,114636,113.4843831,23.15755226,0
628517,2022,114636,113.4843831,23.15755226,180
628518,2022,114636,113.4843831,23.15755226,270
628519,2022,114636,113.4843831,23.15755226,90
628520,2022,114837,113.4470886,23.1566014,0
628521,2022,114837,113.4470886,23.1566014,180
628522,2022,114837,113.4470886,23.1566014,270
628523,2022,114837,113.4470886,23.1566014,90
628524,2022,115037,113.3043036,23.15515393,0
628525,2022,115037,113.3043036,23.15515393,180
628526,2022,115037,113.3043036,23.15515393,270
628527,2022,115037,113.3043036,23.15515393,90
628528,2022,115038,113.3047696,23.15444423,0
628529,2022,115038,113.3047696,23.15444423,180
628530,2022,115038,113.3047696,23.15444423,270
628531,2022,115038,113.3047696,23.15444423,90
628532,2022,115268,113.3141435,23.15489288,0
628533,2022,115268,113.3141435,23.15489288,180
628534,2022,115268,113.3141435,23.15489288,270
628535,2022,115268,113.3141435,23.15489288,90
628536,2022,115463,113.3040725,23.15303618,0
628537,2022,115463,113.3040725,23.15303618,180
628538,2022,115463,113.3040725,23.15303618,270
628539,2022,115463,113.3040725,23.15303618,90
628540,2022,115465,113.3058229,23.15429689,0
628541,2022,115465,113.3058229,23.15429689,180
628542,2022,115465,113.3058229,23.15429689,270
628543,2022,115465,113.3058229,23.15429689,90
628544,2022,116092,113.2941649,23.15049574,0
628545,2022,116092,113.2941649,23.15049574,180
628546,2022,116092,113.2941649,23.15049574,270
628547,2022,116092,113.2941649,23.15049574,90
628548,2022,116328,113.2994153,23.15086565,0
628549,2022,116328,113.2994153,23.15086565,180
628550,2022,116328,113.2994153,23.15086565,270
628551,2022,116328,113.2994153,23.15086565,90
628552,2022,116342,113.3185227,23.15026135,0
628553,2022,116342,113.3185227,23.15026135,180
628554,2022,116342,113.3185227,23.15026135,270
628555,2022,116342,113.3185227,23.15026135,90
628556,2022,116989,113.3129845,23.14829242,0
628557,2022,116989,113.3129845,23.14829242,180
628558,2022,116989,113.3129845,23.14829242,270
628559,2022,116989,113.3129845,23.14829242,90
628560,2022,116992,113.3158187,23.1483735,0
628561,2022,116992,113.3158187,23.1483735,180
628562,2022,116992,113.3158187,23.1483735,270
628563,2022,116992,113.3158187,23.1483735,90
628564,2022,117241,113.3238816,23.147695,0
628565,2022,117241,113.3238816,23.147695,180
628566,2022,117241,113.3238816,23.147695,270
628567,2022,117241,113.3238816,23.147695,90
628568,2022,117250,113.3360989,23.14689647,0
628569,2022,117250,113.3360989,23.14689647,180
628570,2022,117250,113.3360989,23.14689647,270
628571,2022,117250,113.3360989,23.14689647,90
628572,2022,117799,113.3238935,23.14576246,0
628573,2022,117799,113.3238935,23.14576246,180
628574,2022,117799,113.3238935,23.14576246,270
628575,2022,117799,113.3238935,23.14576246,90
628576,2022,118139,113.3405913,23.14444862,0
628577,2022,118139,113.3405913,23.14444862,180
628578,2022,118139,113.3405913,23.14444862,270
628579,2022,118139,113.3405913,23.14444862,90
628580,2022,118341,113.3303928,23.1432634,0
628581,2022,118341,113.3303928,23.1432634,180
628582,2022,118341,113.3303928,23.1432634,270
628583,2022,118341,113.3303928,23.1432634,90
628584,2022,118897,113.3368378,23.14232262,0
628585,2022,118897,113.3368378,23.14232262,180
628586,2022,118897,113.3368378,23.14232262,270
628587,2022,118897,113.3368378,23.14232262,90
628588,2022,118912,113.3538518,23.14209341,0
628589,2022,118912,113.3538518,23.14209341,180
628590,2022,118912,113.3538518,23.14209341,270
628591,2022,118912,113.3538518,23.14209341,90
628592,2022,118918,113.3589348,23.14240062,0
628593,2022,118918,113.3589348,23.14240062,180
628594,2022,118918,113.3589348,23.14240062,270
628595,2022,118918,113.3589348,23.14240062,90
628596,2022,118921,113.3594844,23.14153297,0
628597,2022,118921,113.3594844,23.14153297,180
628598,2022,118921,113.3594844,23.14153297,270
628599,2022,118921,113.3594844,23.14153297,90
628600,2022,118933,113.3880354,23.14124879,0
628601,2022,118933,113.3880354,23.14124879,180
628602,2022,118933,113.3880354,23.14124879,270
628603,2022,118933,113.3880354,23.14124879,90
628604,2022,119331,113.388224,23.14023838,0
628605,2022,119331,113.388224,23.14023838,180
628606,2022,119331,113.388224,23.14023838,270
628607,2022,119331,113.388224,23.14023838,90
628608,2022,119845,113.3523897,23.13767057,0
628609,2022,119845,113.3523897,23.13767057,180
628610,2022,119845,113.3523897,23.13767057,270
628611,2022,119845,113.3523897,23.13767057,90
628612,2022,119846,113.3541084,23.13887396,0
628613,2022,119846,113.3541084,23.13887396,180
628614,2022,119846,113.3541084,23.13887396,270
628615,2022,119846,113.3541084,23.13887396,90
628616,2022,119853,113.3832048,23.13848688,0
628617,2022,119853,113.3832048,23.13848688,180
628618,2022,119853,113.3832048,23.13848688,270
628619,2022,119853,113.3832048,23.13848688,90
628620,2022,120044,113.3433391,23.13849641,0
628621,2022,120044,113.3433391,23.13849641,180
628622,2022,120044,113.3433391,23.13849641,270
628623,2022,120044,113.3433391,23.13849641,90
628624,2022,120056,113.3582248,23.13602313,0
628625,2022,120056,113.3582248,23.13602313,180
628626,2022,120056,113.3582248,23.13602313,270
628627,2022,120056,113.3582248,23.13602313,90
628628,2022,120063,113.3621096,23.13651404,0
628629,2022,120063,113.3621096,23.13651404,180
628630,2022,120063,113.3621096,23.13651404,270
628631,2022,120063,113.3621096,23.13651404,90
628632,2022,120066,113.3688856,23.13858136,0
628633,2022,120066,113.3688856,23.13858136,180
628634,2022,120066,113.3688856,23.13858136,270
628635,2022,120066,113.3688856,23.13858136,90
628636,2022,120213,113.2370146,23.1370761,0
628637,2022,120213,113.2370146,23.1370761,180
628638,2022,120213,113.2370146,23.1370761,270
628639,2022,120213,113.2370146,23.1370761,90
628640,2022,120261,113.2998548,23.13633071,0
628641,2022,120261,113.2998548,23.13633071,180
628642,2022,120261,113.2998548,23.13633071,270
628643,2022,120261,113.2998548,23.13633071,90
628644,2022,120292,113.3374091,23.13677399,0
628645,2022,120292,113.3374091,23.13677399,180
628646,2022,120292,113.3374091,23.13677399,270
628647,2022,120292,113.3374091,23.13677399,90
628648,2022,120430,113.2383166,23.13649187,0
628649,2022,120430,113.2383166,23.13649187,180
628650,2022,120430,113.2383166,23.13649187,270
628651,2022,120430,113.2383166,23.13649187,90
628652,2022,120493,113.3543432,23.13670278,0
628653,2022,120493,113.3543432,23.13670278,180
628654,2022,120493,113.3543432,23.13670278,270
628655,2022,120493,113.3543432,23.13670278,90
628656,2022,120494,113.3552306,23.13657423,0
628657,2022,120494,113.3552306,23.13657423,180
628658,2022,120494,113.3552306,23.13657423,270
628659,2022,120494,113.3552306,23.13657423,90
628660,2022,120911,113.2423464,23.13458501,0
628661,2022,120911,113.2423464,23.13458501,180
628662,2022,120911,113.2423464,23.13458501,270
628663,2022,120911,113.2423464,23.13458501,90
628664,2022,121009,113.4301235,23.13354603,0
628665,2022,121009,113.4301235,23.13354603,180
628666,2022,121009,113.4301235,23.13354603,270
628667,2022,121009,113.4301235,23.13354603,90
628668,2022,121013,113.4297219,23.13045978,0
628669,2022,121013,113.4297219,23.13045978,180
628670,2022,121013,113.4297219,23.13045978,270
628671,2022,121013,113.4297219,23.13045978,90
628672,2022,121234,113.3793662,23.13427276,0
628673,2022,121234,113.3793662,23.13427276,180
628674,2022,121234,113.3793662,23.13427276,270
